"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 18 23:58:41 GMT 2021","Thu Nov 18 23:58:41 GMT 2021","0","unittests","test_haclient","TestUrlChecker","","","test_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Thu Nov 18 23:58:55 GMT 2021","Thu Nov 18 23:58:56 GMT 2021","398","","behave","","","","set light brightness",""
"passed","Thu Nov 18 23:58:41 GMT 2021","Thu Nov 18 23:58:41 GMT 2021","1","unittests","test_haclient","TestUrlChecker","","","test_ip_six_all","Test regex parsing user inputted url as ip v6 address"
"passed","Thu Nov 18 23:58:58 GMT 2021","Thu Nov 18 23:59:03 GMT 2021","4570","","behave","","","","set climate temperature",""
"passed","Thu Nov 18 23:58:45 GMT 2021","Thu Nov 18 23:58:45 GMT 2021","382","","behave","","","","turn on switch",""
"passed","Thu Nov 18 23:58:41 GMT 2021","Thu Nov 18 23:58:41 GMT 2021","0","unittests","test_haclient","TestUrlChecker","","","test_wrong_entry","Test regex parsing user inputted url that should fail"
"passed","Thu Nov 18 23:58:46 GMT 2021","Thu Nov 18 23:58:48 GMT 2021","1024","","behave","","","","turn off switch",""
"passed","Thu Nov 18 23:58:41 GMT 2021","Thu Nov 18 23:58:41 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Thu Nov 18 23:58:41 GMT 2021","Thu Nov 18 23:58:41 GMT 2021","0","unittests","test_haclient","TestUrlChecker","","","test_ip_six_full","Test regex parsing user inputted url as ip v6 address"
"passed","Thu Nov 18 23:58:56 GMT 2021","Thu Nov 18 23:58:56 GMT 2021","360","","behave","","","","decrease light brightness",""
"passed","Thu Nov 18 23:58:41 GMT 2021","Thu Nov 18 23:58:41 GMT 2021","2","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Thu Nov 18 23:58:46 GMT 2021","Thu Nov 18 23:58:46 GMT 2021","636","","behave","","","","toggle on switch",""
"passed","Thu Nov 18 23:58:44 GMT 2021","Thu Nov 18 23:58:45 GMT 2021","941","","behave","","","","read sensor",""
"passed","Thu Nov 18 23:58:41 GMT 2021","Thu Nov 18 23:58:41 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Thu Nov 18 23:58:56 GMT 2021","Thu Nov 18 23:58:56 GMT 2021","380","","behave","","","","increase light brightness",""
"passed","Thu Nov 18 23:58:41 GMT 2021","Thu Nov 18 23:58:41 GMT 2021","4","unittests","test_haclient","TestUrlChecker","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Thu Nov 18 23:58:57 GMT 2021","Thu Nov 18 23:58:57 GMT 2021","463","","behave","","","","triger automation",""
"passed","Thu Nov 18 23:58:41 GMT 2021","Thu Nov 18 23:58:41 GMT 2021","0","unittests","test_haclient","TestUrlChecker","","","test_ipv6_with_port","Test regex parsing user inputted as ipv6 with port"
"passed","Thu Nov 18 23:58:48 GMT 2021","Thu Nov 18 23:58:55 GMT 2021","7600","","behave","","","","turn on light",""
"passed","Thu Nov 18 23:58:45 GMT 2021","Thu Nov 18 23:58:46 GMT 2021","387","","behave","","","","toggle off switch",""
"passed","Thu Nov 18 23:58:41 GMT 2021","Thu Nov 18 23:58:41 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Thu Nov 18 23:58:41 GMT 2021","Thu Nov 18 23:58:41 GMT 2021","25","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Thu Nov 18 23:58:56 GMT 2021","Thu Nov 18 23:58:57 GMT 2021","567","","behave","","","","turn off light",""
"passed","Thu Nov 18 23:58:57 GMT 2021","Thu Nov 18 23:58:58 GMT 2021","1014","","behave","","","","tracker",""
"passed","Thu Nov 18 23:59:03 GMT 2021","Thu Nov 18 23:59:05 GMT 2021","2568","","behave","","","","add item",""
