"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 16 05:51:00 GMT 2022","Wed Mar 16 05:51:00 GMT 2022","1","unittests","test_haclient","TestUrlChecker","","","test_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Wed Mar 16 05:51:00 GMT 2022","Wed Mar 16 05:51:00 GMT 2022","69","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Wed Mar 16 05:51:16 GMT 2022","Wed Mar 16 05:51:17 GMT 2022","353","","behave","","","","decrease light brightness",""
"passed","Wed Mar 16 05:51:18 GMT 2022","Wed Mar 16 05:51:25 GMT 2022","7449","","behave","","","","tracker",""
"passed","Wed Mar 16 05:51:00 GMT 2022","Wed Mar 16 05:51:00 GMT 2022","2","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Wed Mar 16 05:51:00 GMT 2022","Wed Mar 16 05:51:00 GMT 2022","1","unittests","test_haclient","TestUrlChecker","","","test_ipv6_with_port","Test regex parsing user inputted as ipv6 with port"
"passed","Wed Mar 16 05:51:00 GMT 2022","Wed Mar 16 05:51:00 GMT 2022","0","unittests","test_haclient","TestUrlChecker","","","test_wrong_entry","Test regex parsing user inputted url that should fail"
"passed","Wed Mar 16 05:51:06 GMT 2022","Wed Mar 16 05:51:07 GMT 2022","1017","","behave","","","","turn off switch",""
"passed","Wed Mar 16 05:51:04 GMT 2022","Wed Mar 16 05:51:05 GMT 2022","1100","","behave","","","","read sensor",""
"passed","Wed Mar 16 05:51:00 GMT 2022","Wed Mar 16 05:51:00 GMT 2022","0","unittests","test_haclient","TestUrlChecker","","","test_ip_six_full","Test regex parsing user inputted url as ip v6 address"
"passed","Wed Mar 16 05:51:26 GMT 2022","Wed Mar 16 05:51:37 GMT 2022","10303","","behave","","","","show image of missing entity",""
"passed","Wed Mar 16 05:51:00 GMT 2022","Wed Mar 16 05:51:00 GMT 2022","6","unittests","test_haclient","TestUrlChecker","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Wed Mar 16 05:51:17 GMT 2022","Wed Mar 16 05:51:18 GMT 2022","379","","behave","","","","triger automation",""
"passed","Wed Mar 16 05:51:26 GMT 2022","Wed Mar 16 05:51:26 GMT 2022","574","","behave","","","","add item",""
"passed","Wed Mar 16 05:51:07 GMT 2022","Wed Mar 16 05:51:15 GMT 2022","8193","","behave","","","","turn on light",""
"passed","Wed Mar 16 05:51:00 GMT 2022","Wed Mar 16 05:51:00 GMT 2022","1","unittests","test_haclient","TestUrlChecker","","","test_ip_six_all","Test regex parsing user inputted url as ip v6 address"
"passed","Wed Mar 16 05:51:00 GMT 2022","Wed Mar 16 05:51:00 GMT 2022","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Wed Mar 16 05:51:37 GMT 2022","Wed Mar 16 05:51:37 GMT 2022","383","","behave","","","","show image",""
"passed","Wed Mar 16 05:51:05 GMT 2022","Wed Mar 16 05:51:05 GMT 2022","395","","behave","","","","turn on switch",""
"passed","Wed Mar 16 05:51:16 GMT 2022","Wed Mar 16 05:51:16 GMT 2022","387","","behave","","","","increase light brightness",""
"passed","Wed Mar 16 05:51:00 GMT 2022","Wed Mar 16 05:51:00 GMT 2022","0","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Wed Mar 16 05:51:00 GMT 2022","Wed Mar 16 05:51:00 GMT 2022","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Wed Mar 16 05:51:05 GMT 2022","Wed Mar 16 05:51:06 GMT 2022","399","","behave","","","","toggle off switch",""
"passed","Wed Mar 16 05:51:17 GMT 2022","Wed Mar 16 05:51:17 GMT 2022","662","","behave","","","","turn off light",""
"passed","Wed Mar 16 05:51:25 GMT 2022","Wed Mar 16 05:51:26 GMT 2022","821","","behave","","","","set climate temperature",""
"passed","Wed Mar 16 05:51:06 GMT 2022","Wed Mar 16 05:51:06 GMT 2022","397","","behave","","","","toggle on switch",""
"passed","Wed Mar 16 05:51:15 GMT 2022","Wed Mar 16 05:51:16 GMT 2022","420","","behave","","","","set light brightness",""
