2021-10-25 12:34:45.036 | INFO     |  5747 | __main__:main:50 | Starting message bus service...
2021-10-25 12:34:45.037 | INFO     |  5747 | mycroft.messagebus.load_config:load_message_bus_config:33 | Loading message bus configs
2021-10-25 12:34:45.039 | INFO     |  5747 | __main__:on_ready:37 | Message bus service started!
2021-10-25 12:34:45.045 | INFO     |  5747 | tornado.access | 101 GET /core (127.0.0.1) 0.64ms
2021-10-25 12:34:45.067 | INFO     |  5747 | tornado.access | 101 GET /core (127.0.0.1) 0.48ms
2021-10-25 12:34:45.114 | INFO     |  5747 | tornado.access | 101 GET /core (127.0.0.1) 0.54ms
2021-10-25 12:34:45.174 | INFO     |  5747 | tornado.access | 101 GET /core (127.0.0.1) 0.56ms
2021-10-25 12:34:45.286 | INFO     |  5747 | tornado.access | 101 GET /core (127.0.0.1) 0.54ms
2021-10-25 12:35:57.503 | INFO     |  5747 | tornado.access | 101 GET /core (127.0.0.1) 0.51ms
2021-10-25 12:36:31.700 | INFO     |  5747 | __main__:on_stopping:45 | Message bus is shutting down...
