2021-10-25 12:34:45.064 | INFO     |  5750 | mycroft.messagebus.load_config:load_message_bus_config:33 | Loading message bus configs
2021-10-25 12:34:45.068 | INFO     |  5750 | mycroft_bus_client.client.client | Connected
2021-10-25 12:34:45.069 | INFO     |  5750 | mycroft.util.process_utils:start_message_bus_client:155 | Connected to messagebus
2021-10-25 12:34:45.073 | INFO     |  5750 | mycroft.skills.msm_wrapper:create_msm:96 | Acquiring lock to instantiate MSM
2021-10-25 12:34:48.139 | INFO     |  5750 | msm.mycroft_skills_manager | building SkillEntry objects for all skills
2021-10-25 12:34:48.564 | INFO     |  5750 | mycroft.skills.msm_wrapper:create_msm:112 | Releasing MSM instantiation lock.
2021-10-25 12:34:48.564 | INFO     |  5750 | mycroft.skills.skill_updater:_log_next_download_time:267 | Next scheduled skill update: 2021-10-25 12:34:47.564404
2021-10-25 12:34:48.565 | INFO     |  5750 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-pairing
2021-10-25 12:34:48.934 | INFO     |  5750 | msm.skill_entry | Installing system requirements...
2021-10-25 12:34:48.943 | INFO     |  5750 | msm.skill_entry | Successfully installed mycroft-pairing
2021-10-25 12:34:48.943 | INFO     |  5750 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-25 12:34:48.945 | INFO     |  5750 | mycroft.skills.skill_loader:load:185 | ATTEMPTING TO LOAD SKILL: mycroft-pairing.mycroftai
2021-10-25 12:34:48.952 | INFO     |  5750 | mycroft.skills.settings:get_local_settings:83 | /opt/mycroft/skills/mycroft-pairing.mycroftai/settings.json
2021-10-25 12:34:48.968 | INFO     |  5750 | mycroft.skills.skill_loader:_check_for_first_run:324 | First run of mycroft-pairing.mycroftai
2021-10-25 12:34:48.968 | INFO     |  5750 | mycroft.skills.settings:save_settings:116 | Skill settings successfully saved to /home/runner/.config/mycroft/skills/mycroft-pairing.mycroftai/settings.json
2021-10-25 12:34:48.980 | INFO     |  5750 | mycroft.skills.skill_loader:_communicate_load_status:344 | Skill mycroft-pairing.mycroftai loaded successfully
2021-10-25 12:34:48.980 | INFO     |  5750 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-volume
2021-10-25 12:34:49.320 | INFO     |  5750 | msm.skill_entry | Installing system requirements...
2021-10-25 12:34:49.330 | INFO     |  5750 | msm.skill_entry | Installing requirements.txt for mycroft-volume
2021-10-25 12:34:50.502 | INFO     |  5750 | msm.skill_entry | Successfully installed mycroft-volume
2021-10-25 12:34:50.503 | INFO     |  5750 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-25 12:34:50.504 | INFO     |  5750 | mycroft.skills.skill_loader:load:185 | ATTEMPTING TO LOAD SKILL: mycroft-volume.mycroftai
2021-10-25 12:34:50.521 | INFO     |  5750 | mycroft.skills.settings:get_local_settings:83 | /opt/mycroft/skills/mycroft-volume.mycroftai/settings.json
2021-10-25 12:34:50.611 | ERROR    |  5750 | VolumeSkill | Couldn't allocate mixer, ALSAAudioError('No such file or directory [default]')
2021-10-25 12:34:53.620 | INFO     |  5750 | mycroft.skills.skill_loader:_check_for_first_run:324 | First run of mycroft-volume.mycroftai
2021-10-25 12:34:53.621 | INFO     |  5750 | mycroft.skills.settings:save_settings:116 | Skill settings successfully saved to /home/runner/.config/mycroft/skills/mycroft-volume.mycroftai/settings.json
2021-10-25 12:34:53.622 | INFO     |  5750 | mycroft.skills.skill_loader:_communicate_load_status:344 | Skill mycroft-volume.mycroftai loaded successfully
2021-10-25 12:34:53.622 | INFO     |  5750 | __main__:on_started:177 | Skills service is starting up.
2021-10-25 12:34:53.687 | INFO     |  5750 | __main__:_update_system:154 | Attempting system update...
2021-10-25 12:34:56.689 | INFO     |  5750 | mycroft.enclosure.display_manager:_write_data:70 | Display Manager is creating /tmp/mycroft/ipc/managers/disp_info
2021-10-25 12:34:56.691 | INFO     |  5750 | __main__:_ensure_device_is_paired:133 | Device not paired, invoking the pairing skill
2021-10-25 12:34:56.699 | INFO     |  5750 | __main__:on_alive:181 | Skills service is alive.
2021-10-25 12:34:56.709 | INFO     |  5750 | msm.mycroft_skills_manager | building SkillEntry objects for all skills
2021-10-25 12:34:56.887 | INFO     |  5750 | PairingSkill | Communicating account URL to user
2021-10-25 12:34:56.968 | WARNING  |  5750 | msm.mycroft_skills_manager | No such default skill: mycroft-pandora
2021-10-25 12:34:56.969 | INFO     |  5750 | mycroft.skills.skill_manager:run:234 | Not all default skills are installed, performing skill update...
2021-10-25 12:34:56.969 | INFO     |  5750 | mycroft.skills.skill_updater:update_skills:149 | Beginning skill update...
2021-10-25 12:34:57.034 | INFO     |  5750 | msm.mycroft_skills_manager | building SkillEntry objects for all skills
2021-10-25 12:34:57.256 | INFO     |  5750 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-25 12:34:57.270 | INFO     |  5750 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-audio-record
2021-10-25 12:34:57.272 | INFO     |  5750 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/fallback-unknown
2021-10-25 12:34:57.279 | INFO     |  5750 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-joke
2021-10-25 12:34:57.281 | INFO     |  5750 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/fallback-duckduckgo
2021-10-25 12:34:57.285 | INFO     |  5750 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-installer
2021-10-25 12:34:57.289 | INFO     |  5750 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-hello-world
2021-10-25 12:34:57.290 | INFO     |  5750 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-date-time
2021-10-25 12:34:57.296 | INFO     |  5750 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-naptime
