2021-11-02 12:16:38.771 | INFO     |  5896 | mycroft.messagebus.load_config:load_message_bus_config:33 | Loading message bus configs
2021-11-02 12:16:38.781 | INFO     |  5896 | mycroft_bus_client.client.client | Connected
2021-11-02 12:16:38.798 | INFO     |  5896 | mycroft.util.process_utils:start_message_bus_client:155 | Connected to messagebus
2021-11-02 12:16:38.807 | INFO     |  5896 | mycroft.skills.msm_wrapper:create_msm:96 | Acquiring lock to instantiate MSM
2021-11-02 12:16:40.263 | INFO     |  5896 | msm.mycroft_skills_manager | building SkillEntry objects for all skills
2021-11-02 12:16:40.644 | INFO     |  5896 | mycroft.skills.msm_wrapper:create_msm:112 | Releasing MSM instantiation lock.
2021-11-02 12:16:40.645 | INFO     |  5896 | mycroft.skills.skill_updater:_log_next_download_time:267 | Next scheduled skill update: 2021-11-02 12:16:39.644380
2021-11-02 12:16:40.645 | INFO     |  5896 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-pairing
2021-11-02 12:16:41.023 | INFO     |  5896 | msm.skill_entry | Installing system requirements...
2021-11-02 12:16:41.054 | INFO     |  5896 | msm.skill_entry | Successfully installed mycroft-pairing
2021-11-02 12:16:41.054 | INFO     |  5896 | msm.mycroft_skills_manager | invalidating skills cache
2021-11-02 12:16:41.056 | INFO     |  5896 | mycroft.skills.skill_loader:load:185 | ATTEMPTING TO LOAD SKILL: mycroft-pairing.mycroftai
2021-11-02 12:16:41.063 | INFO     |  5896 | mycroft.skills.settings:get_local_settings:83 | /opt/mycroft/skills/mycroft-pairing.mycroftai/settings.json
2021-11-02 12:16:41.112 | INFO     |  5896 | mycroft.skills.skill_loader:_check_for_first_run:324 | First run of mycroft-pairing.mycroftai
2021-11-02 12:16:41.115 | INFO     |  5896 | mycroft.skills.settings:save_settings:116 | Skill settings successfully saved to /home/runner/.config/mycroft/skills/mycroft-pairing.mycroftai/settings.json
2021-11-02 12:16:41.116 | INFO     |  5896 | mycroft.skills.skill_loader:_communicate_load_status:344 | Skill mycroft-pairing.mycroftai loaded successfully
2021-11-02 12:16:41.120 | INFO     |  5896 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-volume
2021-11-02 12:16:41.599 | INFO     |  5896 | msm.skill_entry | Installing system requirements...
2021-11-02 12:16:41.626 | INFO     |  5896 | msm.skill_entry | Installing requirements.txt for mycroft-volume
2021-11-02 12:16:42.911 | INFO     |  5896 | msm.skill_entry | Successfully installed mycroft-volume
2021-11-02 12:16:42.911 | INFO     |  5896 | msm.mycroft_skills_manager | invalidating skills cache
2021-11-02 12:16:42.913 | INFO     |  5896 | mycroft.skills.skill_loader:load:185 | ATTEMPTING TO LOAD SKILL: mycroft-volume.mycroftai
2021-11-02 12:16:42.930 | INFO     |  5896 | mycroft.skills.settings:get_local_settings:83 | /opt/mycroft/skills/mycroft-volume.mycroftai/settings.json
2021-11-02 12:16:43.053 | ERROR    |  5896 | VolumeSkill | Couldn't allocate mixer, ALSAAudioError('No such file or directory [default]')
2021-11-02 12:16:46.061 | INFO     |  5896 | mycroft.skills.skill_loader:_check_for_first_run:324 | First run of mycroft-volume.mycroftai
2021-11-02 12:16:46.062 | INFO     |  5896 | mycroft.skills.settings:save_settings:116 | Skill settings successfully saved to /home/runner/.config/mycroft/skills/mycroft-volume.mycroftai/settings.json
2021-11-02 12:16:46.063 | INFO     |  5896 | mycroft.skills.skill_loader:_communicate_load_status:344 | Skill mycroft-volume.mycroftai loaded successfully
2021-11-02 12:16:46.064 | INFO     |  5896 | __main__:on_started:177 | Skills service is starting up.
2021-11-02 12:16:46.136 | INFO     |  5896 | __main__:_update_system:154 | Attempting system update...
2021-11-02 12:16:49.139 | INFO     |  5896 | mycroft.enclosure.display_manager:_write_data:70 | Display Manager is creating /tmp/mycroft/ipc/managers/disp_info
2021-11-02 12:16:49.140 | INFO     |  5896 | __main__:_ensure_device_is_paired:133 | Device not paired, invoking the pairing skill
2021-11-02 12:16:49.141 | INFO     |  5896 | __main__:on_alive:181 | Skills service is alive.
2021-11-02 12:16:49.144 | INFO     |  5896 | msm.mycroft_skills_manager | building SkillEntry objects for all skills
2021-11-02 12:16:49.363 | INFO     |  5896 | PairingSkill | Communicating account URL to user
2021-11-02 12:16:49.750 | WARNING  |  5896 | msm.mycroft_skills_manager | No such default skill: mycroft-pandora
2021-11-02 12:16:49.751 | INFO     |  5896 | mycroft.skills.skill_manager:run:234 | Not all default skills are installed, performing skill update...
2021-11-02 12:16:49.752 | INFO     |  5896 | mycroft.skills.skill_updater:update_skills:149 | Beginning skill update...
2021-11-02 12:16:49.818 | INFO     |  5896 | msm.mycroft_skills_manager | building SkillEntry objects for all skills
2021-11-02 12:16:50.501 | INFO     |  5896 | msm.mycroft_skills_manager | invalidating skills cache
2021-11-02 12:16:50.545 | INFO     |  5896 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-alarm
2021-11-02 12:16:50.548 | INFO     |  5896 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-audio-record
2021-11-02 12:16:50.550 | INFO     |  5896 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-configuration
2021-11-02 12:16:50.551 | INFO     |  5896 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/fallback-wolfram-alpha
2021-11-02 12:16:50.558 | INFO     |  5896 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/fallback-duckduckgo
2021-11-02 12:16:50.559 | INFO     |  5896 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/fallback-unknown
2021-11-02 12:16:50.559 | INFO     |  5896 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-hello-world
2021-11-02 12:16:50.566 | INFO     |  5896 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-ip
2021-11-02 12:16:50.566 | INFO     |  5896 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-joke
2021-11-02 12:16:50.568 | INFO     |  5896 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-naptime
2021-11-02 12:16:50.569 | INFO     |  5896 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-npr-news
2021-11-02 12:16:50.569 | INFO     |  5896 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-installer
2021-11-02 12:16:50.570 | INFO     |  5896 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-date-time
2021-11-02 12:16:50.585 | INFO     |  5896 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-personal
