"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 25 14:15:33 GMT 2021","Mon Oct 25 14:15:33 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_six","Test regex parsing user inputted url as ip v4 address"
"passed","Mon Oct 25 14:15:47 GMT 2021","Mon Oct 25 14:15:48 GMT 2021","1034","","behave","","","","increase light brightness",""
"passed","Mon Oct 25 14:15:49 GMT 2021","Mon Oct 25 14:15:49 GMT 2021","337","","behave","","","","triger automation",""
"passed","Mon Oct 25 14:15:37 GMT 2021","Mon Oct 25 14:15:38 GMT 2021","1012","","behave","","","","read sensor",""
"passed","Mon Oct 25 14:15:48 GMT 2021","Mon Oct 25 14:15:49 GMT 2021","365","","behave","","","","turn off light",""
"passed","Mon Oct 25 14:15:48 GMT 2021","Mon Oct 25 14:15:48 GMT 2021","572","","behave","","","","decrease light brightness",""
"passed","Mon Oct 25 14:15:34 GMT 2021","Mon Oct 25 14:15:34 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Mon Oct 25 14:15:49 GMT 2021","Mon Oct 25 14:15:50 GMT 2021","677","","behave","","","","tracker",""
"passed","Mon Oct 25 14:15:34 GMT 2021","Mon Oct 25 14:15:34 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Mon Oct 25 14:15:40 GMT 2021","Mon Oct 25 14:15:47 GMT 2021","6362","","behave","","","","set light brightness",""
"passed","Mon Oct 25 14:15:33 GMT 2021","Mon Oct 25 14:15:33 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Mon Oct 25 14:15:38 GMT 2021","Mon Oct 25 14:15:38 GMT 2021","344","","behave","","","","toggle off switch",""
"passed","Mon Oct 25 14:15:51 GMT 2021","Mon Oct 25 14:15:52 GMT 2021","1023","","behave","","","","add item",""
"passed","Mon Oct 25 14:15:39 GMT 2021","Mon Oct 25 14:15:40 GMT 2021","1028","","behave","","","","turn on light",""
"passed","Mon Oct 25 14:15:39 GMT 2021","Mon Oct 25 14:15:39 GMT 2021","642","","behave","","","","turn off switch",""
"passed","Mon Oct 25 14:15:33 GMT 2021","Mon Oct 25 14:15:34 GMT 2021","29","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Mon Oct 25 14:15:50 GMT 2021","Mon Oct 25 14:15:51 GMT 2021","987","","behave","","","","set climate temperature",""
"passed","Mon Oct 25 14:15:38 GMT 2021","Mon Oct 25 14:15:38 GMT 2021","329","","behave","","","","turn on switch",""
"passed","Mon Oct 25 14:15:34 GMT 2021","Mon Oct 25 14:15:34 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Mon Oct 25 14:15:38 GMT 2021","Mon Oct 25 14:15:39 GMT 2021","380","","behave","","","","toggle on switch",""
"passed","Mon Oct 25 14:15:33 GMT 2021","Mon Oct 25 14:15:33 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Mon Oct 25 14:15:33 GMT 2021","Mon Oct 25 14:15:33 GMT 2021","3","unittests","test_haclient","TestHaClient","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
