"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 17 06:11:22 GMT 2022","Thu Mar 17 06:11:22 GMT 2022","0","unittests","test_haclient","TestUrlChecker","","","test_wrong_entry","Test regex parsing user inputted url that should fail"
"passed","Thu Mar 17 06:11:22 GMT 2022","Thu Mar 17 06:11:22 GMT 2022","0","unittests","test_haclient","TestUrlChecker","","","test_ipv6_with_port","Test regex parsing user inputted as ipv6 with port"
"passed","Thu Mar 17 06:13:32 GMT 2022","Thu Mar 17 06:13:32 GMT 2022","349","","behave","","","","increase light brightness",""
"failed","Thu Mar 17 06:13:53 GMT 2022","Thu Mar 17 06:14:13 GMT 2022","20605","","behave","","","","triger automation",""
"passed","Thu Mar 17 06:13:31 GMT 2022","Thu Mar 17 06:13:32 GMT 2022","344","","behave","","","","set light brightness",""
"failed","Thu Mar 17 06:12:09 GMT 2022","Thu Mar 17 06:12:29 GMT 2022","20606","","behave","","","","toggle off switch",""
"passed","Thu Mar 17 06:14:55 GMT 2022","Thu Mar 17 06:15:05 GMT 2022","10303","","behave","","","","where is skill conflict -- @1.3 where is skill conflict",""
"failed","Thu Mar 17 06:14:13 GMT 2022","Thu Mar 17 06:14:34 GMT 2022","20606","","behave","","","","tracker",""
"failed","Thu Mar 17 06:13:32 GMT 2022","Thu Mar 17 06:13:53 GMT 2022","20605","","behave","","","","turn off light",""
"passed","Thu Mar 17 06:11:22 GMT 2022","Thu Mar 17 06:11:22 GMT 2022","0","unittests","test_haclient","TestUrlChecker","","","test_ip_six_full","Test regex parsing user inputted url as ip v6 address"
"passed","Thu Mar 17 06:15:16 GMT 2022","Thu Mar 17 06:15:16 GMT 2022","334","","behave","","","","add item",""
"passed","Thu Mar 17 06:15:05 GMT 2022","Thu Mar 17 06:15:15 GMT 2022","10303","","behave","","","","where is skill conflict -- @1.4 where is skill conflict",""
"passed","Thu Mar 17 06:11:22 GMT 2022","Thu Mar 17 06:11:22 GMT 2022","5","unittests","test_haclient","TestUrlChecker","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Thu Mar 17 06:14:34 GMT 2022","Thu Mar 17 06:14:44 GMT 2022","10303","","behave","","","","where is skill conflict -- @1.1 where is skill conflict",""
"failed","Thu Mar 17 06:13:11 GMT 2022","Thu Mar 17 06:13:31 GMT 2022","20606","","behave","","","","turn on light",""
"passed","Thu Mar 17 06:14:44 GMT 2022","Thu Mar 17 06:14:55 GMT 2022","10302","","behave","","","","where is skill conflict -- @1.2 where is skill conflict",""
"passed","Thu Mar 17 06:11:22 GMT 2022","Thu Mar 17 06:11:22 GMT 2022","0","unittests","test_haclient","TestUrlChecker","","","test_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Thu Mar 17 06:11:22 GMT 2022","Thu Mar 17 06:11:22 GMT 2022","1","unittests","test_haclient","TestUrlChecker","","","test_ip_six_all","Test regex parsing user inputted url as ip v6 address"
"passed","Thu Mar 17 06:11:22 GMT 2022","Thu Mar 17 06:11:22 GMT 2022","39","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"failed","Thu Mar 17 06:12:29 GMT 2022","Thu Mar 17 06:12:50 GMT 2022","20606","","behave","","","","toggle on switch",""
"passed","Thu Mar 17 06:11:22 GMT 2022","Thu Mar 17 06:11:22 GMT 2022","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Thu Mar 17 06:13:32 GMT 2022","Thu Mar 17 06:13:32 GMT 2022","347","","behave","","","","decrease light brightness",""
"failed","Thu Mar 17 06:11:48 GMT 2022","Thu Mar 17 06:12:09 GMT 2022","20606","","behave","","","","turn on switch",""
"failed","Thu Mar 17 06:12:50 GMT 2022","Thu Mar 17 06:13:11 GMT 2022","20606","","behave","","","","turn off switch",""
"failed","Thu Mar 17 06:11:28 GMT 2022","Thu Mar 17 06:11:48 GMT 2022","20607","","behave","","","","read sensor",""
"passed","Thu Mar 17 06:11:22 GMT 2022","Thu Mar 17 06:11:22 GMT 2022","2","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Thu Mar 17 06:15:15 GMT 2022","Thu Mar 17 06:15:16 GMT 2022","348","","behave","","","","set climate temperature",""
"passed","Thu Mar 17 06:11:22 GMT 2022","Thu Mar 17 06:11:22 GMT 2022","1","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Thu Mar 17 06:11:22 GMT 2022","Thu Mar 17 06:11:22 GMT 2022","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
