2022-03-17 21:30:34.043 | INFO     |  4727 | mycroft.messagebus.load_config:load_message_bus_config:33 | Loading message bus configs
2022-03-17 21:30:34.057 | INFO     |  4727 | mycroft_bus_client.client.client | Connected
2022-03-17 21:30:34.066 | INFO     |  4727 | mycroft.util.process_utils:start_message_bus_client:155 | Connected to messagebus
2022-03-17 21:30:34.070 | INFO     |  4727 | mycroft.skills.msm_wrapper:create_msm:96 | Acquiring lock to instantiate MSM
2022-03-17 21:30:36.025 | INFO     |  4727 | msm.mycroft_skills_manager | building SkillEntry objects for all skills
2022-03-17 21:30:36.412 | INFO     |  4727 | mycroft.skills.msm_wrapper:create_msm:112 | Releasing MSM instantiation lock.
2022-03-17 21:30:36.413 | INFO     |  4727 | mycroft.skills.skill_updater:_log_next_download_time:267 | Next scheduled skill update: 2022-03-17 21:30:35.412890
2022-03-17 21:30:36.413 | INFO     |  4727 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-pairing
2022-03-17 21:30:36.785 | INFO     |  4727 | msm.skill_entry | Installing system requirements...
2022-03-17 21:30:36.814 | INFO     |  4727 | msm.skill_entry | Successfully installed mycroft-pairing
2022-03-17 21:30:36.814 | INFO     |  4727 | msm.mycroft_skills_manager | invalidating skills cache
2022-03-17 21:30:36.816 | INFO     |  4727 | mycroft.skills.skill_loader:load:185 | ATTEMPTING TO LOAD SKILL: mycroft-pairing.mycroftai
2022-03-17 21:30:36.827 | INFO     |  4727 | mycroft.skills.settings:get_local_settings:83 | /opt/mycroft/skills/mycroft-pairing.mycroftai/settings.json
2022-03-17 21:30:36.839 | INFO     |  4727 | mycroft.skills.skill_loader:_check_for_first_run:324 | First run of mycroft-pairing.mycroftai
2022-03-17 21:30:36.840 | INFO     |  4727 | mycroft.skills.settings:save_settings:116 | Skill settings successfully saved to /home/runner/.config/mycroft/skills/mycroft-pairing.mycroftai/settings.json
2022-03-17 21:30:36.847 | INFO     |  4727 | mycroft.skills.skill_loader:_communicate_load_status:344 | Skill mycroft-pairing.mycroftai loaded successfully
2022-03-17 21:30:36.847 | INFO     |  4727 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-volume
2022-03-17 21:30:37.279 | INFO     |  4727 | msm.skill_entry | Installing system requirements...
2022-03-17 21:30:37.291 | INFO     |  4727 | msm.skill_entry | Installing requirements.txt for mycroft-volume
2022-03-17 21:30:38.143 | INFO     |  4727 | msm.skill_entry | Successfully installed mycroft-volume
2022-03-17 21:30:38.143 | INFO     |  4727 | msm.mycroft_skills_manager | invalidating skills cache
2022-03-17 21:30:38.144 | INFO     |  4727 | mycroft.skills.skill_loader:load:185 | ATTEMPTING TO LOAD SKILL: mycroft-volume.mycroftai
2022-03-17 21:30:38.152 | INFO     |  4727 | mycroft.skills.settings:get_local_settings:83 | /opt/mycroft/skills/mycroft-volume.mycroftai/settings.json
2022-03-17 21:30:38.243 | ERROR    |  4727 | VolumeSkill | Couldn't allocate mixer, ALSAAudioError('No such file or directory [default]')
2022-03-17 21:30:41.245 | INFO     |  4727 | mycroft.skills.skill_loader:_check_for_first_run:324 | First run of mycroft-volume.mycroftai
2022-03-17 21:30:41.245 | INFO     |  4727 | mycroft.skills.settings:save_settings:116 | Skill settings successfully saved to /home/runner/.config/mycroft/skills/mycroft-volume.mycroftai/settings.json
2022-03-17 21:30:41.246 | INFO     |  4727 | mycroft.skills.skill_loader:_communicate_load_status:344 | Skill mycroft-volume.mycroftai loaded successfully
2022-03-17 21:30:41.247 | INFO     |  4727 | __main__:on_started:177 | Skills service is starting up.
2022-03-17 21:30:41.314 | INFO     |  4727 | __main__:_update_system:154 | Attempting system update...
2022-03-17 21:30:44.378 | INFO     |  4727 | mycroft.enclosure.display_manager:_write_data:70 | Display Manager is creating /tmp/mycroft/ipc/managers/disp_info
2022-03-17 21:30:44.379 | INFO     |  4727 | __main__:_ensure_device_is_paired:133 | Device not paired, invoking the pairing skill
2022-03-17 21:30:44.394 | INFO     |  4727 | __main__:on_alive:181 | Skills service is alive.
2022-03-17 21:30:44.437 | INFO     |  4727 | msm.mycroft_skills_manager | building SkillEntry objects for all skills
2022-03-17 21:30:44.619 | INFO     |  4727 | PairingSkill | Communicating account URL to user
2022-03-17 21:30:45.317 | WARNING  |  4727 | msm.mycroft_skills_manager | No such default skill: mycroft-pandora
2022-03-17 21:30:45.318 | INFO     |  4727 | mycroft.skills.skill_manager:run:234 | Not all default skills are installed, performing skill update...
2022-03-17 21:30:45.319 | INFO     |  4727 | mycroft.skills.skill_updater:update_skills:149 | Beginning skill update...
2022-03-17 21:30:45.382 | INFO     |  4727 | msm.mycroft_skills_manager | building SkillEntry objects for all skills
2022-03-17 21:30:45.582 | INFO     |  4727 | msm.mycroft_skills_manager | invalidating skills cache
2022-03-17 21:30:45.606 | INFO     |  4727 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/fallback-unknown
2022-03-17 21:30:45.632 | INFO     |  4727 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-audio-record
2022-03-17 21:30:45.634 | INFO     |  4727 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-alarm
2022-03-17 21:30:45.651 | INFO     |  4727 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-date-time
2022-03-17 21:30:45.655 | INFO     |  4727 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-configuration
2022-03-17 21:30:45.665 | INFO     |  4727 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/fallback-duckduckgo
2022-03-17 21:30:45.692 | INFO     |  4727 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-hello-world
2022-03-17 21:30:45.693 | INFO     |  4727 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-installer
2022-03-17 21:30:45.694 | INFO     |  4727 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-ip
2022-03-17 21:30:45.695 | INFO     |  4727 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-joke
2022-03-17 21:30:45.707 | INFO     |  4727 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-npr-news
2022-03-17 21:30:45.707 | INFO     |  4727 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/fallback-wolfram-alpha
2022-03-17 21:30:45.709 | INFO     |  4727 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-personal
2022-03-17 21:30:45.710 | INFO     |  4727 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-playback-control
2022-03-17 21:30:45.710 | INFO     |  4727 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-reminder
2022-03-17 21:30:45.713 | INFO     |  4727 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-singing
2022-03-17 21:30:45.716 | INFO     |  4727 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-naptime
2022-03-17 21:30:46.849 | INFO     |  4727 | msm.skill_entry | Installing system requirements...
2022-03-17 21:30:46.935 | INFO     |  4727 | msm.skill_entry | Installing system requirements...
2022-03-17 21:30:46.982 | INFO     |  4727 | msm.skill_entry | Installing requirements.txt for mycroft-audio-record
2022-03-17 21:30:47.034 | INFO     |  4727 | msm.skill_entry | Installing requirements.txt for mycroft-fallback-duck-duck-go
2022-03-17 21:30:47.154 | INFO     |  4727 | msm.skill_entry | Installing system requirements...
2022-03-17 21:30:47.199 | INFO     |  4727 | msm.skill_entry | Successfully installed fallback-unknown
2022-03-17 21:30:47.200 | INFO     |  4727 | msm.mycroft_skills_manager | invalidating skills cache
2022-03-17 21:30:47.201 | INFO     |  4727 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-speak
2022-03-17 21:30:47.240 | ERROR    |  4727 | msm.mycroft_skills_manager | Error running install_or_update on homeassistant.mycroftai: MergeConflict
2022-03-17 21:30:47.251 | INFO     |  4727 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-spelling
2022-03-17 21:30:47.326 | INFO     |  4727 | msm.skill_entry | Nothing new for mycroft-pairing
2022-03-17 21:30:47.359 | INFO     |  4727 | msm.skill_entry | Installing system requirements...
2022-03-17 21:30:47.424 | INFO     |  4727 | msm.skill_entry | Installing system requirements...
2022-03-17 21:30:47.430 | INFO     |  4727 | msm.skill_entry | Installing system requirements...
2022-03-17 21:30:47.491 | INFO     |  4727 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-stop
2022-03-17 21:30:47.514 | INFO     |  4727 | msm.skill_entry | Installing system requirements...
2022-03-17 21:30:47.528 | INFO     |  4727 | msm.skill_entry | Successfully installed mycroft-personal
2022-03-17 21:30:47.529 | INFO     |  4727 | msm.mycroft_skills_manager | invalidating skills cache
2022-03-17 21:30:47.531 | INFO     |  4727 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-support
2022-03-17 21:30:47.534 | INFO     |  4727 | msm.skill_entry | Installing system requirements...
2022-03-17 21:30:47.539 | INFO     |  4727 | msm.skill_entry | Installing system requirements...
2022-03-17 21:30:47.548 | INFO     |  4727 | msm.skill_entry | Installing requirements.txt for mycroft-joke
2022-03-17 21:30:47.628 | INFO     |  4727 | msm.skill_entry | Successfully installed mycroft-hello-world
2022-03-17 21:30:47.628 | INFO     |  4727 | msm.mycroft_skills_manager | invalidating skills cache
2022-03-17 21:30:47.630 | INFO     |  4727 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/mycroft-timer
2022-03-17 21:30:47.651 | INFO     |  4727 | msm.skill_entry | Installing requirements.txt for fallback-wolfram-alpha
2022-03-17 21:30:47.654 | INFO     |  4727 | msm.skill_entry | Successfully installed mycroft-naptime
2022-03-17 21:30:47.655 | INFO     |  4727 | msm.mycroft_skills_manager | invalidating skills cache
2022-03-17 21:30:47.662 | INFO     |  4727 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-weather
2022-03-17 21:30:47.699 | INFO     |  4727 | msm.skill_entry | Installing system requirements...
2022-03-17 21:30:47.702 | INFO     |  4727 | msm.skill_entry | Installing system requirements...
2022-03-17 21:30:47.710 | INFO     |  4727 | msm.skill_entry | Installing system requirements...
2022-03-17 21:30:47.752 | INFO     |  4727 | msm.skill_entry | Installing system requirements...
2022-03-17 21:30:47.844 | INFO     |  4727 | msm.skill_entry | Installing system requirements...
2022-03-17 21:30:47.875 | INFO     |  4727 | msm.skill_entry | Installing requirements.txt for mycroft-npr-news
2022-03-17 21:30:47.883 | INFO     |  4727 | msm.skill_entry | Successfully installed mycroft-playback-control
