2021-10-29 04:14:13.278 | INFO     |  5346 | __main__:main:50 | Starting message bus service...
2021-10-29 04:14:13.279 | INFO     |  5346 | mycroft.messagebus.load_config:load_message_bus_config:33 | Loading message bus configs
2021-10-29 04:14:13.297 | INFO     |  5346 | __main__:on_ready:37 | Message bus service started!
2021-10-29 04:14:13.343 | INFO     |  5346 | tornado.access | 101 GET /core (127.0.0.1) 1.29ms
2021-10-29 04:14:13.383 | INFO     |  5346 | tornado.access | 101 GET /core (127.0.0.1) 0.60ms
2021-10-29 04:14:13.462 | INFO     |  5346 | tornado.access | 101 GET /core (127.0.0.1) 0.61ms
2021-10-29 04:14:13.526 | INFO     |  5346 | tornado.access | 101 GET /core (127.0.0.1) 0.52ms
2021-10-29 04:14:13.621 | INFO     |  5346 | tornado.access | 101 GET /core (127.0.0.1) 0.64ms
2021-10-29 04:15:43.708 | INFO     |  5346 | tornado.access | 101 GET /core (127.0.0.1) 0.65ms
2021-10-29 04:15:43.740 | INFO     |  5346 | tornado.access | 101 GET /core (127.0.0.1) 0.74ms
2021-10-29 04:16:24.107 | INFO     |  5346 | __main__:on_stopping:45 | Message bus is shutting down...
