"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 02 12:18:02 GMT 2021","Tue Nov 02 12:18:02 GMT 2021","1","unittests","test_haclient","TestUrlChecker","","","test_ip_six_all","Test regex parsing user inputted url as ip v6 address"
"passed","Tue Nov 02 12:18:02 GMT 2021","Tue Nov 02 12:18:02 GMT 2021","0","unittests","test_haclient","TestUrlChecker","","","test_wrong_entry","Test regex parsing user inputted url that should fail"
"passed","Tue Nov 02 12:18:02 GMT 2021","Tue Nov 02 12:18:02 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Tue Nov 02 12:18:27 GMT 2021","Tue Nov 02 12:18:37 GMT 2021","10303","","behave","","","","tracker - where skill conflict",""
"passed","Tue Nov 02 12:18:02 GMT 2021","Tue Nov 02 12:18:02 GMT 2021","28","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Tue Nov 02 12:18:07 GMT 2021","Tue Nov 02 12:18:07 GMT 2021","345","","behave","","","","toggle off switch",""
"passed","Tue Nov 02 12:18:19 GMT 2021","Tue Nov 02 12:18:19 GMT 2021","361","","behave","","","","triger automation",""
"passed","Tue Nov 02 12:18:05 GMT 2021","Tue Nov 02 12:18:06 GMT 2021","1080","","behave","","","","read sensor",""
"passed","Tue Nov 02 12:18:02 GMT 2021","Tue Nov 02 12:18:02 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Tue Nov 02 12:18:07 GMT 2021","Tue Nov 02 12:18:08 GMT 2021","342","","behave","","","","toggle on switch",""
"passed","Tue Nov 02 12:18:17 GMT 2021","Tue Nov 02 12:18:18 GMT 2021","342","","behave","","","","increase light brightness",""
"passed","Tue Nov 02 12:18:02 GMT 2021","Tue Nov 02 12:18:02 GMT 2021","4","unittests","test_haclient","TestUrlChecker","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Tue Nov 02 12:18:02 GMT 2021","Tue Nov 02 12:18:02 GMT 2021","0","unittests","test_haclient","TestUrlChecker","","","test_ip_six_full","Test regex parsing user inputted url as ip v6 address"
"passed","Tue Nov 02 12:18:09 GMT 2021","Tue Nov 02 12:18:17 GMT 2021","8300","","behave","","","","turn on light",""
"passed","Tue Nov 02 12:18:08 GMT 2021","Tue Nov 02 12:18:09 GMT 2021","1016","","behave","","","","turn off switch",""
"passed","Tue Nov 02 12:18:02 GMT 2021","Tue Nov 02 12:18:02 GMT 2021","2","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Tue Nov 02 12:18:02 GMT 2021","Tue Nov 02 12:18:02 GMT 2021","0","unittests","test_haclient","TestUrlChecker","","","test_ipv6_with_port","Test regex parsing user inputted as ipv6 with port"
"passed","Tue Nov 02 12:18:02 GMT 2021","Tue Nov 02 12:18:02 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Tue Nov 02 12:18:18 GMT 2021","Tue Nov 02 12:18:18 GMT 2021","346","","behave","","","","decrease light brightness",""
"passed","Tue Nov 02 12:18:17 GMT 2021","Tue Nov 02 12:18:17 GMT 2021","366","","behave","","","","set light brightness",""
"passed","Tue Nov 02 12:18:06 GMT 2021","Tue Nov 02 12:18:07 GMT 2021","394","","behave","","","","turn on switch",""
"passed","Tue Nov 02 12:18:02 GMT 2021","Tue Nov 02 12:18:02 GMT 2021","0","unittests","test_haclient","TestUrlChecker","","","test_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Tue Nov 02 12:18:37 GMT 2021","Tue Nov 02 12:18:37 GMT 2021","343","","behave","","","","set climate temperature",""
"passed","Tue Nov 02 12:18:19 GMT 2021","Tue Nov 02 12:18:27 GMT 2021","7557","","behave","","","","tracker",""
"passed","Tue Nov 02 12:18:37 GMT 2021","Tue Nov 02 12:18:38 GMT 2021","335","","behave","","","","add item",""
"passed","Tue Nov 02 12:18:18 GMT 2021","Tue Nov 02 12:18:19 GMT 2021","666","","behave","","","","turn off light",""
