2021-11-02 07:39:12.548 | INFO     |  6141 | __main__:main:50 | Starting message bus service...
2021-11-02 07:39:12.548 | INFO     |  6141 | mycroft.messagebus.load_config:load_message_bus_config:33 | Loading message bus configs
2021-11-02 07:39:12.552 | INFO     |  6141 | __main__:on_ready:37 | Message bus service started!
2021-11-02 07:39:12.616 | INFO     |  6141 | tornado.access | 101 GET /core (127.0.0.1) 0.80ms
2021-11-02 07:39:12.642 | INFO     |  6141 | tornado.access | 101 GET /core (127.0.0.1) 0.43ms
2021-11-02 07:39:12.709 | INFO     |  6141 | tornado.access | 101 GET /core (127.0.0.1) 0.43ms
2021-11-02 07:39:12.774 | INFO     |  6141 | tornado.access | 101 GET /core (127.0.0.1) 0.46ms
2021-11-02 07:39:13.003 | INFO     |  6141 | tornado.access | 101 GET /core (127.0.0.1) 0.58ms
2021-11-02 07:40:29.149 | INFO     |  6141 | tornado.access | 101 GET /core (127.0.0.1) 0.52ms
2021-11-02 07:41:07.969 | INFO     |  6141 | tornado.access | 101 GET /core (127.0.0.1) 0.66ms
2021-11-02 07:41:08.114 | INFO     |  6141 | __main__:on_stopping:45 | Message bus is shutting down...
