"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 29 05:36:11 GMT 2021","Mon Nov 29 05:36:11 GMT 2021","411","","behave","","","","set light brightness",""
"passed","Mon Nov 29 05:35:56 GMT 2021","Mon Nov 29 05:35:56 GMT 2021","1","unittests","test_haclient","TestUrlChecker","","","test_ip_six_all","Test regex parsing user inputted url as ip v6 address"
"passed","Mon Nov 29 05:36:11 GMT 2021","Mon Nov 29 05:36:11 GMT 2021","386","","behave","","","","increase light brightness",""
"passed","Mon Nov 29 05:35:56 GMT 2021","Mon Nov 29 05:35:56 GMT 2021","1","unittests","test_haclient","TestUrlChecker","","","test_ip_six_full","Test regex parsing user inputted url as ip v6 address"
"passed","Mon Nov 29 05:35:56 GMT 2021","Mon Nov 29 05:35:56 GMT 2021","4","unittests","test_haclient","TestUrlChecker","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Mon Nov 29 05:36:11 GMT 2021","Mon Nov 29 05:36:12 GMT 2021","573","","behave","","","","decrease light brightness",""
"passed","Mon Nov 29 05:36:13 GMT 2021","Mon Nov 29 05:36:14 GMT 2021","1041","","behave","","","","triger automation",""
"passed","Mon Nov 29 05:36:21 GMT 2021","Mon Nov 29 05:36:22 GMT 2021","541","","behave","","","","add item",""
"passed","Mon Nov 29 05:35:59 GMT 2021","Mon Nov 29 05:36:00 GMT 2021","1026","","behave","","","","read sensor",""
"passed","Mon Nov 29 05:36:05 GMT 2021","Mon Nov 29 05:36:11 GMT 2021","5752","","behave","","","","turn on light",""
"passed","Mon Nov 29 05:36:12 GMT 2021","Mon Nov 29 05:36:13 GMT 2021","734","","behave","","","","turn off light",""
"passed","Mon Nov 29 05:35:56 GMT 2021","Mon Nov 29 05:35:56 GMT 2021","2","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Mon Nov 29 05:35:56 GMT 2021","Mon Nov 29 05:35:56 GMT 2021","0","unittests","test_haclient","TestUrlChecker","","","test_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Mon Nov 29 05:35:55 GMT 2021","Mon Nov 29 05:35:56 GMT 2021","28","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Mon Nov 29 05:36:14 GMT 2021","Mon Nov 29 05:36:20 GMT 2021","6590","","behave","","","","tracker",""
"passed","Mon Nov 29 05:36:02 GMT 2021","Mon Nov 29 05:36:05 GMT 2021","3222","","behave","","","","turn off switch",""
"passed","Mon Nov 29 05:35:56 GMT 2021","Mon Nov 29 05:35:56 GMT 2021","0","unittests","test_haclient","TestUrlChecker","","","test_wrong_entry","Test regex parsing user inputted url that should fail"
"passed","Mon Nov 29 05:36:00 GMT 2021","Mon Nov 29 05:36:01 GMT 2021","350","","behave","","","","turn on switch",""
"passed","Mon Nov 29 05:35:55 GMT 2021","Mon Nov 29 05:35:55 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Mon Nov 29 05:36:20 GMT 2021","Mon Nov 29 05:36:21 GMT 2021","761","","behave","","","","set climate temperature",""
"passed","Mon Nov 29 05:36:01 GMT 2021","Mon Nov 29 05:36:02 GMT 2021","635","","behave","","","","toggle on switch",""
"passed","Mon Nov 29 05:36:01 GMT 2021","Mon Nov 29 05:36:01 GMT 2021","393","","behave","","","","toggle off switch",""
"passed","Mon Nov 29 05:35:56 GMT 2021","Mon Nov 29 05:35:56 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Mon Nov 29 05:35:56 GMT 2021","Mon Nov 29 05:35:56 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Mon Nov 29 05:35:56 GMT 2021","Mon Nov 29 05:35:56 GMT 2021","0","unittests","test_haclient","TestUrlChecker","","","test_ipv6_with_port","Test regex parsing user inputted as ipv6 with port"
