"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 17 06:24:01 GMT 2022","Thu Mar 17 06:24:11 GMT 2022","10302","","behave","","","","where is skill conflict -- @1.2 where is skill conflict",""
"passed","Thu Mar 17 06:23:15 GMT 2022","Thu Mar 17 06:23:15 GMT 2022","0","unittests","test_haclient","TestUrlChecker","","","test_wrong_entry","Test regex parsing user inputted url that should fail"
"passed","Thu Mar 17 06:23:32 GMT 2022","Thu Mar 17 06:23:41 GMT 2022","8193","","behave","","","","turn on light",""
"passed","Thu Mar 17 06:23:15 GMT 2022","Thu Mar 17 06:23:15 GMT 2022","0","unittests","test_haclient","TestUrlChecker","","","test_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Thu Mar 17 06:23:15 GMT 2022","Thu Mar 17 06:23:15 GMT 2022","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Thu Mar 17 06:23:15 GMT 2022","Thu Mar 17 06:23:15 GMT 2022","1","unittests","test_haclient","TestUrlChecker","","","test_ipv6_with_port","Test regex parsing user inputted as ipv6 with port"
"passed","Thu Mar 17 06:23:30 GMT 2022","Thu Mar 17 06:23:31 GMT 2022","349","","behave","","","","turn on switch",""
"passed","Thu Mar 17 06:23:15 GMT 2022","Thu Mar 17 06:23:15 GMT 2022","1","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Thu Mar 17 06:23:43 GMT 2022","Thu Mar 17 06:23:50 GMT 2022","7491","","behave","","","","tracker",""
"passed","Thu Mar 17 06:23:31 GMT 2022","Thu Mar 17 06:23:31 GMT 2022","398","","behave","","","","toggle on switch",""
"passed","Thu Mar 17 06:23:42 GMT 2022","Thu Mar 17 06:23:42 GMT 2022","679","","behave","","","","turn off light",""
"passed","Thu Mar 17 06:23:15 GMT 2022","Thu Mar 17 06:23:15 GMT 2022","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Thu Mar 17 06:23:15 GMT 2022","Thu Mar 17 06:23:15 GMT 2022","1","unittests","test_haclient","TestUrlChecker","","","test_ip_six_all","Test regex parsing user inputted url as ip v6 address"
"passed","Thu Mar 17 06:23:50 GMT 2022","Thu Mar 17 06:24:01 GMT 2022","10304","","behave","","","","where is skill conflict -- @1.1 where is skill conflict",""
"passed","Thu Mar 17 06:23:26 GMT 2022","Thu Mar 17 06:23:30 GMT 2022","4409","","behave","","","","read sensor",""
"passed","Thu Mar 17 06:23:31 GMT 2022","Thu Mar 17 06:23:31 GMT 2022","391","","behave","","","","toggle off switch",""
"passed","Thu Mar 17 06:24:11 GMT 2022","Thu Mar 17 06:24:21 GMT 2022","10302","","behave","","","","where is skill conflict -- @1.3 where is skill conflict",""
"passed","Thu Mar 17 06:23:15 GMT 2022","Thu Mar 17 06:23:15 GMT 2022","1","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Thu Mar 17 06:23:41 GMT 2022","Thu Mar 17 06:23:41 GMT 2022","399","","behave","","","","increase light brightness",""
"passed","Thu Mar 17 06:23:15 GMT 2022","Thu Mar 17 06:23:15 GMT 2022","1","unittests","test_haclient","TestUrlChecker","","","test_ip_six_full","Test regex parsing user inputted url as ip v6 address"
"passed","Thu Mar 17 06:24:21 GMT 2022","Thu Mar 17 06:24:32 GMT 2022","10303","","behave","","","","where is skill conflict -- @1.4 where is skill conflict",""
"passed","Thu Mar 17 06:23:41 GMT 2022","Thu Mar 17 06:23:41 GMT 2022","407","","behave","","","","set light brightness",""
"passed","Thu Mar 17 06:23:15 GMT 2022","Thu Mar 17 06:23:15 GMT 2022","32","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Thu Mar 17 06:23:31 GMT 2022","Thu Mar 17 06:23:32 GMT 2022","1025","","behave","","","","turn off switch",""
"passed","Thu Mar 17 06:23:42 GMT 2022","Thu Mar 17 06:23:43 GMT 2022","382","","behave","","","","triger automation",""
"passed","Thu Mar 17 06:23:15 GMT 2022","Thu Mar 17 06:23:15 GMT 2022","4","unittests","test_haclient","TestUrlChecker","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Thu Mar 17 06:24:32 GMT 2022","Thu Mar 17 06:24:32 GMT 2022","338","","behave","","","","add item",""
"passed","Thu Mar 17 06:23:41 GMT 2022","Thu Mar 17 06:23:42 GMT 2022","380","","behave","","","","decrease light brightness",""
"passed","Thu Mar 17 06:24:32 GMT 2022","Thu Mar 17 06:24:32 GMT 2022","365","","behave","","","","set climate temperature",""
