"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 25 12:36:09 GMT 2021","Mon Oct 25 12:36:09 GMT 2021","393","","behave","","","","set light brightness",""
"passed","Mon Oct 25 12:36:10 GMT 2021","Mon Oct 25 12:36:10 GMT 2021","572","","behave","","","","decrease light brightness",""
"passed","Mon Oct 25 12:35:55 GMT 2021","Mon Oct 25 12:35:55 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_six","Test regex parsing user inputted url as ip v4 address"
"passed","Mon Oct 25 12:36:20 GMT 2021","Mon Oct 25 12:36:20 GMT 2021","547","","behave","","","","add item",""
"passed","Mon Oct 25 12:35:55 GMT 2021","Mon Oct 25 12:35:55 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Mon Oct 25 12:35:59 GMT 2021","Mon Oct 25 12:35:59 GMT 2021","381","","behave","","","","toggle off switch",""
"passed","Mon Oct 25 12:36:07 GMT 2021","Mon Oct 25 12:36:09 GMT 2021","1573","","behave","","","","turn on light",""
"passed","Mon Oct 25 12:36:10 GMT 2021","Mon Oct 25 12:36:11 GMT 2021","739","","behave","","","","turn off light",""
"passed","Mon Oct 25 12:35:55 GMT 2021","Mon Oct 25 12:35:55 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Mon Oct 25 12:35:55 GMT 2021","Mon Oct 25 12:35:55 GMT 2021","3","unittests","test_haclient","TestHaClient","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Mon Oct 25 12:36:09 GMT 2021","Mon Oct 25 12:36:10 GMT 2021","381","","behave","","","","increase light brightness",""
"passed","Mon Oct 25 12:35:55 GMT 2021","Mon Oct 25 12:35:55 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Mon Oct 25 12:36:11 GMT 2021","Mon Oct 25 12:36:12 GMT 2021","1072","","behave","","","","triger automation",""
"passed","Mon Oct 25 12:35:55 GMT 2021","Mon Oct 25 12:35:55 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_check_ip_with_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Mon Oct 25 12:36:12 GMT 2021","Mon Oct 25 12:36:19 GMT 2021","6491","","behave","","","","tracker",""
"passed","Mon Oct 25 12:35:58 GMT 2021","Mon Oct 25 12:35:59 GMT 2021","949","","behave","","","","read sensor",""
"passed","Mon Oct 25 12:35:55 GMT 2021","Mon Oct 25 12:35:55 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Mon Oct 25 12:35:59 GMT 2021","Mon Oct 25 12:36:00 GMT 2021","637","","behave","","","","toggle on switch",""
"passed","Mon Oct 25 12:35:59 GMT 2021","Mon Oct 25 12:35:59 GMT 2021","378","","behave","","","","turn on switch",""
"passed","Mon Oct 25 12:36:19 GMT 2021","Mon Oct 25 12:36:20 GMT 2021","822","","behave","","","","set climate temperature",""
"passed","Mon Oct 25 12:35:55 GMT 2021","Mon Oct 25 12:35:55 GMT 2021","25","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Mon Oct 25 12:36:00 GMT 2021","Mon Oct 25 12:36:07 GMT 2021","7419","","behave","","","","turn off switch",""
