"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 29 05:01:52 GMT 2021","Fri Oct 29 05:01:52 GMT 2021","2","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Fri Oct 29 05:01:54 GMT 2021","Fri Oct 29 05:01:55 GMT 2021","895","","behave","","","","read sensor",""
"passed","Fri Oct 29 05:01:52 GMT 2021","Fri Oct 29 05:01:52 GMT 2021","1","unittests","test_haclient","TestUrlChecker","","","test_ip_six_all","Test regex parsing user inputted url as ip v6 address"
"passed","Fri Oct 29 05:02:06 GMT 2021","Fri Oct 29 05:02:07 GMT 2021","392","","behave","","","","decrease light brightness",""
"passed","Fri Oct 29 05:02:08 GMT 2021","Fri Oct 29 05:02:11 GMT 2021","3032","","behave","","","","triger automation",""
"passed","Fri Oct 29 05:01:52 GMT 2021","Fri Oct 29 05:01:52 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Fri Oct 29 05:02:02 GMT 2021","Fri Oct 29 05:02:05 GMT 2021","3866","","behave","","","","turn on light",""
"passed","Fri Oct 29 05:01:52 GMT 2021","Fri Oct 29 05:01:52 GMT 2021","1","unittests","test_haclient","TestUrlChecker","","","test_wrong_entry","Test regex parsing user inputted url that should fail"
"passed","Fri Oct 29 05:02:06 GMT 2021","Fri Oct 29 05:02:06 GMT 2021","637","","behave","","","","increase light brightness",""
"passed","Fri Oct 29 05:02:15 GMT 2021","Fri Oct 29 05:02:16 GMT 2021","716","","behave","","","","set climate temperature",""
"passed","Fri Oct 29 05:01:55 GMT 2021","Fri Oct 29 05:01:56 GMT 2021","377","","behave","","","","toggle off switch",""
"passed","Fri Oct 29 05:01:56 GMT 2021","Fri Oct 29 05:02:02 GMT 2021","5140","","behave","","","","turn off switch",""
"passed","Fri Oct 29 05:01:55 GMT 2021","Fri Oct 29 05:01:55 GMT 2021","378","","behave","","","","turn on switch",""
"passed","Fri Oct 29 05:01:52 GMT 2021","Fri Oct 29 05:01:52 GMT 2021","0","unittests","test_haclient","TestUrlChecker","","","test_ipv6_with_port","Test regex parsing user inputted as ipv6 with port"
"passed","Fri Oct 29 05:01:52 GMT 2021","Fri Oct 29 05:01:52 GMT 2021","1","unittests","test_haclient","TestUrlChecker","","","test_ip_six_full","Test regex parsing user inputted url as ip v6 address"
"passed","Fri Oct 29 05:02:16 GMT 2021","Fri Oct 29 05:02:17 GMT 2021","602","","behave","","","","add item",""
"passed","Fri Oct 29 05:01:52 GMT 2021","Fri Oct 29 05:01:52 GMT 2021","3","unittests","test_haclient","TestUrlChecker","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Fri Oct 29 05:01:52 GMT 2021","Fri Oct 29 05:01:52 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Fri Oct 29 05:02:07 GMT 2021","Fri Oct 29 05:02:08 GMT 2021","1014","","behave","","","","turn off light",""
"passed","Fri Oct 29 05:01:52 GMT 2021","Fri Oct 29 05:01:52 GMT 2021","0","unittests","test_haclient","TestUrlChecker","","","test_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Fri Oct 29 05:02:05 GMT 2021","Fri Oct 29 05:02:06 GMT 2021","392","","behave","","","","set light brightness",""
"passed","Fri Oct 29 05:01:56 GMT 2021","Fri Oct 29 05:01:56 GMT 2021","640","","behave","","","","toggle on switch",""
"passed","Fri Oct 29 05:01:52 GMT 2021","Fri Oct 29 05:01:52 GMT 2021","22","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Fri Oct 29 05:02:11 GMT 2021","Fri Oct 29 05:02:15 GMT 2021","4537","","behave","","","","tracker",""
"passed","Fri Oct 29 05:01:52 GMT 2021","Fri Oct 29 05:01:52 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
